success,cet_oapr,english,reading,science,quantitative,abstract,shs_gpa,program,sex,strand,class_rank,academic_awards,classroom_org,school_org,fathers_education,fathers_employment,mothers_education,mothers_employment,income,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,laptop,internet
1,74.25,72.78,82.26,59.25,53.82,72.9,93.5,BS Computer Science,Female,ABM/BAM,Top 5,With Honor,Vice President,Senator,"Some high school, no diploma","Employed, working 40 hours or more per week (fulltime)","Some high school, no diploma","Employed, working 40 hours or more per week (fulltime)","P20,000 to P50,000",Agree,Neutral,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Sometimes,Sometimes,Often/Always,Seldom,Often/Always,Seldom,Sometimes,Often/Always,Sometimes,Sometimes,Sometimes,Sometimes,Often/Always,Seldom,Sometimes,Seldom,Seldom,Often/Always,Often/Always,Often/Always,Often/Always,Often/Always,Often/Always,Sometimes,Research online,More than 1 hour but less than 2 hours/day,I don’t study.,No,Pre-paid plan(Limited Data Subscription)
1,74.25,68.5,48.49,80.93,53.82,91.68,95,BS Computer Science,Male,TVL-HE,Top 5,High Honor,President,Grade Level Representative,Bachelor’s degree,"Employed, working 40 hours or more per week (fulltime)",Bachelor’s degree,"Self-employed (doing business, etc.)","P10,000 to P20,000",Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Often/Always,Seldom,Seldom,Sometimes,Seldom,Sometimes,Often/Always,Often/Always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Seldom,Sometimes,Seldom,Seldom,Often/Always,Often/Always,Often/Always,Sometimes,Sometimes,Often/Always,Often/Always,Ask my teachers at school,More than 1 hour but less than 2 hours/day,More than 2 hours but less than 3 hours/day,No,Pre-paid plan(Limited Data Subscription)
0,65.83,63.53,77.12,80.93,10.45,63.1,89,BS Computer Science,Female,TVL-HE,Top 10,With Honor,None,None,"Some high school, no diploma","Self-employed (doing business, etc.)",No schooling completed,"Self-employed (doing business, etc.)","Below P10,000",Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Sometimes,Sometimes,Sometimes,Seldom,Sometimes,Seldom,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Seldom,Sometimes,Seldom,Sometimes,Seldom,Seldom,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Seldom,Research online,More than 30 min. but less than 1 hour/day,More than 30 min. but less than 1 hour/day,No,Pre-paid plan(Limited Data Subscription)
0,69.19,80.58,35.7,80.93,44.18,33.69,81,BS Computer Science,Male,STEM,Top 20,None,None,None,"High school graduate, diploma or the equivalent","Not Applicable (no work, not known, etc.)","High school graduate, diploma or the equivalent","Not Applicable (no work, not known, etc.)",Prefer not to say,Agree,Agree,Strongly Agree,Disagree,Neutral,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,Neutral,Agree,Disagree,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Often/Always,Seldom,Sometimes,Seldom,Seldom,Often/Always,Sometimes,Seldom,Often/Always,Sometimes,Sometimes,Seldom,Often/Always,Sometimes,Often/Always,Sometimes,Often/Always,Seldom,Research online,More than 30 min. but less than 1 hour/day,More than 1 hour but less than 2 hours/day,Yes,"Post-paid plan(Unlimited Data Subscription to PLDT, GLOBE, SMART, Sky, etc.)"
0,74.25,83.47,90.94,76.79,34.54,4.24,87,BS Computer Science,Male,TVL-ICT,None,None,Vice President,None,"Some high school, no diploma","Employed, working 40 hours or more per week (fulltime)","Some high school, no diploma","Employed, working 40 hours or more per week (fulltime)","Below P10,000",Neutral,Neutral,Agree,Neutral,Disagree,Agree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Neutral,Agree,Neutral,Agree,Neutral,Disagree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Disagree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Strongly Disagree,Strongly Agree,Agree,Agree,Neutral,Sometimes,Often/Always,Never,Sometimes,Sometimes,Sometimes,Often/Always,Sometimes,Seldom,Seldom,Seldom,Sometimes,Never,Seldom,Often/Always,Seldom,Sometimes,Sometimes,Sometimes,Often/Always,Often/Always,Often/Always,Often/Always,Sometimes,Ask my teachers at school,More than 2 hours but less than 3 hours/day,More than 1 hour but less than 2 hours/day,Planning to purchase,Pre-paid plan(Limited Data Subscription)
1,71.42,61.05,90.94,51.68,63.45,72.9,88.5,BS Computer Science,Male,GAS,Top 20,With Honor,Project Manager,None,Bachelor’s degree,"Employed, working 1 to 39 hours or more per week (part-time)","High school graduate, diploma or the equivalent","Employed, working 1 to 39 hours or more per week (part-time)",Prefer not to say,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Disagree,Neutral,Strongly Agree,Neutral,Agree,Neutral,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Disagree,Sometimes,Seldom,Sometimes,Sometimes,Sometimes,Seldom,Sometimes,Often/Always,Often/Always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Seldom,Seldom,Often/Always,Sometimes,Sometimes,Often/Always,Often/Always,Sometimes,Sometimes,Research online,More than 3 hours but less than 4 hours/day,More than 2 hours but less than 3 hours/day,Yes,"Post-paid plan(Unlimited Data Subscription to PLDT, GLOBE, SMART, Sky, etc.)"
1,96.17,98.17,94.82,80.93,44.18,98.81,94.16,BS Information Technology,Female,HUMSS,Top 20,With Honor,None,None,Trade/technical/vocational training,"Not Applicable (no work, not known, etc.)",Bachelor’s degree,"Self-employed (doing business, etc.)","P10,000 to P20,000",Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Neutral,Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Seldom,Sometimes,Sometimes,Often/Always,Often/Always,Seldom,Sometimes,Often/Always,Often/Always,Seldom,Sometimes,Seldom,Often/Always,Never,Sometimes,Seldom,Sometimes,Often/Always,Often/Always,Often/Always,Seldom,Sometimes,Often/Always,Often/Always,Research online,More than 1 hour but less than 2 hours/day,More than 1 hour but less than 2 hours/day,Yes,"Post-paid plan(Unlimited Data Subscription to PLDT, GLOBE, SMART, Sky, etc.)"
1,79.72,72.78,98.7,59.25,53.82,72.9,91.5,BS Computer Science,Female,STEM,None,With Honor,None,None,"High school graduate, diploma or the equivalent","Employed, working 40 hours or more per week (fulltime)","High school graduate, diploma or the equivalent","Not Applicable (no work, not known, etc.)","P10,000 to P20,000",Neutral,Agree,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Agree,Agree,Disagree,Neutral,Agree,Strongly Agree,Agree,Neutral,Strongly Disagree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Disagree,Neutral,Neutral,Agree,Neutral,Sometimes,Never,Seldom,Sometimes,Sometimes,Sometimes,Sometimes,Often/Always,Sometimes,Sometimes,Seldom,Often/Always,Often/Always,Sometimes,Often/Always,Often/Always,Seldom,Sometimes,Often/Always,Often/Always,Often/Always,Sometimes,Sometimes,Sometimes,Research online,More than 2 hours but less than 3 hours/day,More than 2 hours but less than 3 hours/day,No,Pre-paid plan(Limited Data Subscription)
0,75.16,76.83,71.99,66.81,70.61,53.29,90.5,BS Computer Science,Male,TVL-ICT,Top 20,With Honor,None,None,Bachelor’s degree,Retired,Professional degree,"Employed, working 1 to 39 hours or more per week (part-time)","P20,000 to P50,000",Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Neutral,Neutral,Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Sometimes,Seldom,Never,Often/Always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often/Always,Often/Always,Sometimes,Often/Always,Sometimes,Often/Always,Often/Always,Sometimes,Sometimes,Often/Always,Often/Always,Often/Always,Often/Always,Ask my friends,More than 30 min. but less than 1 hour/day,More than 30 min. but less than 1 hour/day,Yes,"Post-paid plan(Unlimited Data Subscription to PLDT, GLOBE, SMART, Sky, etc.)"
1,94.48,96.08,99.7,91.97,24.91,87.72,92.5,BS Computer Science,Female,TVL-ICT,Top 5,With Honor,President,Volunteer,"Some high school, no diploma",Retired,Nursery school to 8th grade,"Not Applicable (no work, not known, etc.)",Prefer not to say,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Strongly Agree,Agree,Neutral,Agree,Neutral,Disagree,Agree,Neutral,Strongly Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Disagree,Agree,Neutral,Agree,Neutral,Sometimes,Sometimes,Sometimes,Often/Always,Sometimes,Seldom,Seldom,Often/Always,Seldom,Seldom,Seldom,Sometimes,Sometimes,Seldom,Sometimes,Seldom,Seldom,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Seldom,Research online,Up to 30 minutes/day,I don’t study.,Yes,"Post-paid plan(Unlimited Data Subscription to PLDT, GLOBE, SMART, Sky, etc.)"
1,92.51,94.81,96.76,66.81,75.28,79.78,89,BS Computer Science,Female,STEM,None,None,None,None,"Some college credit, no degree","Employed, working 40 hours or more per week (fulltime)","Some college credit, no degree","Self-employed (doing business, etc.)","P10,000 to P20,000",Neutral,Neutral,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Strongly Agree,Strongly Disagree,Disagree,Neutral,Neutral,Strongly Disagree,Sometimes,Sometimes,Often/Always,Often/Always,Often/Always,Never,Seldom,Often/Always,Often/Always,Sometimes,Often/Always,Often/Always,Often/Always,Sometimes,Sometimes,Sometimes,Never,Often/Always,Often/Always,Never,Often/Always,Often/Always,Often/Always,Seldom,Research online,More than 2 hours but less than 3 hours/day,More than 2 hours but less than 3 hours/day,Yes,"Post-paid plan(Unlimited Data Subscription to PLDT, GLOBE, SMART, Sky, etc.)"
1,86.26,86.35,66.85,85.06,70.61,87.72,94,BS Computer Science,Female,TVL-ICT,Top 5,High Honor,President,None,Master’s degree,"Employed, working 40 hours or more per week (fulltime)",Master’s degree,"Employed, working 40 hours or more per week (fulltime)",Prefer not to say,Disagree,Agree,Neutral,Neutral,Strongly Disagree,Disagree,Agree,Agree,Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Agree,Neutral,Agree,Agree,Neutral,Strongly Disagree,Neutral,Agree,Agree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Strongly Disagree,Disagree,Agree,Neutral,Disagree,Seldom,Often/Always,Often/Always,Sometimes,Often/Always,Sometimes,Seldom,Seldom,Often/Always,Never,Often/Always,Often/Always,Often/Always,Never,Often/Always,Never,Sometimes,Sometimes,Often/Always,Seldom,Often/Always,Often/Always,Often/Always,Often/Always,Research online,Up to 30 minutes/day,Up to 30 minutes/day,Yes,Pre-paid plan(Limited Data Subscription)
1,91.56,90.77,94.82,66.81,70.61,97.87,87.945,BS Information Technology,Female,HUMSS,Top 10,None,Treasurer,None,Bachelor’s degree,"Self-employed (doing business, etc.)",Bachelor’s degree,"Employed, working 40 hours or more per week (fulltime)","P10,000 to P20,000",Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Seldom,Never,Sometimes,Seldom,Seldom,Seldom,Sometimes,Often/Always,Often/Always,Seldom,Seldom,Sometimes,Sometimes,Seldom,Sometimes,Seldom,Seldom,Sometimes,Sometimes,Sometimes,Often/Always,Sometimes,Sometimes,Seldom,Research online,More than 1 hour but less than 2 hours/day,More than 30 min. but less than 1 hour/day,Yes,"Post-paid plan(Unlimited Data Subscription to PLDT, GLOBE, SMART, Sky, etc.)"
1,75.16,68.5,90.94,59.25,44.18,83.75,86.5,BS Computer Science,Male,TVL-ICT,None,None,None,None,No schooling completed,"Employed, working 1 to 39 hours or more per week (part-time)",Bachelor’s degree,"Not employed, not looking for work","P10,000 to P20,000",Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Strongly Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Neutral,Sometimes,Sometimes,Often/Always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often/Always,Sometimes,Sometimes,Seldom,Often/Always,Sometimes,Often/Always,Sometimes,Sometimes,Sometimes,Often/Always,Seldom,Sometimes,Often/Always,Often/Always,Sometimes,Ask my teachers at school,More than 3 hours but less than 4 hours/day,More than 30 min. but less than 1 hour/day,No,Pre-paid plan(Limited Data Subscription)
1,70.3,76.83,54.75,51.68,44.18,79.78,80.63,BS Computer Science,Male,STEM,None,None,None,None,"Some high school, no diploma","Employed, working 40 hours or more per week (fulltime)","Some college credit, no degree","Not employed, not looking for work",Prefer not to say,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Neutral,Agree,Disagree,Neutral,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Sometimes,Sometimes,Seldom,Sometimes,Sometimes,Seldom,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Seldom,Often/Always,Sometimes,Sometimes,Sometimes,Sometimes,Often/Always,Sometimes,Sometimes,Often/Always,Sometimes,Sometimes,Sometimes,Ask my teachers at school,More than 30 min. but less than 1 hour/day,Up to 30 minutes/day,No,Pre-paid plan(Limited Data Subscription)
0,69.19,63.53,66.85,59.25,34.54,91.68,84.5,BS Computer Science,Male,STEM,Top 10,None,None,None,"Not Applicable (no work, not known, etc.)","Not Applicable (no work, not known, etc.)","High school graduate, diploma or the equivalent","Employed, working 40 hours or more per week (fulltime)","P20,000 to P50,000",Strongly Agree,Neutral,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Neutral,Strongly Disagree,Agree,Neutral,Strongly Disagree,Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Seldom,Sometimes,Seldom,Seldom,Sometimes,Seldom,Sometimes,Sometimes,Sometimes,Seldom,Never,Seldom,Seldom,Never,Sometimes,Seldom,Seldom,Often/Always,Never,Seldom,Sometimes,Sometimes,Sometimes,Seldom,Ask my teachers at school,More than 30 min. but less than 1 hour/day,More than 3 hours but less than 4 hours/day,Yes,"Post-paid plan(Unlimited Data Subscription to PLDT, GLOBE, SMART, Sky, etc.)"
1,92.9,90.77,90.94,85.06,89.31,87.72,90.44,BS Computer Science,Male,TVL-ICT,Top 20,With Honor,None,None,Professional degree,"Employed, working 40 hours or more per week (fulltime)",Professional degree,"Employed, working 40 hours or more per week (fulltime)","P20,000 to P50,000",Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Neutral,Neutral,Agree,Strongly Agree,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,Agree,Disagree,Neutral,Agree,Agree,Disagree,Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,Disagree,Seldom,Never,Seldom,Sometimes,Seldom,Sometimes,Sometimes,Sometimes,Often/Always,Seldom,Sometimes,Often/Always,Sometimes,Never,Often/Always,Sometimes,Seldom,Often/Always,Often/Always,Often/Always,Sometimes,Sometimes,Often/Always,Sometimes,Ask my friends,I don’t study.,I don’t study.,Yes,Pre-paid plan(Limited Data Subscription)
1,68.07,61.05,71.99,72.66,18.16,87.72,89,BS Computer Science,Female,STEM,None,None,None,None,Bachelor’s degree,"Self-employed (doing business, etc.)",Nursery school to 8th grade,"Not Applicable (no work, not known, etc.)","P20,000 to P50,000",Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,Neutral,Strongly Agree,Neutral,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Disagree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Disagree,Sometimes,Never,Sometimes,Sometimes,Seldom,Sometimes,Sometimes,Often/Always,Sometimes,Sometimes,Often/Always,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Often/Always,Sometimes,Sometimes,Sometimes,Sometimes,Often/Always,Sometimes,Ask my friends,More than 1 hour but less than 2 hours/day,More than 1 hour but less than 2 hours/day,Yes,Pre-paid plan(Limited Data Subscription)
1,68.07,72.78,48.4,66.81,53.82,63.1,91,BS Computer Science,Female,STEM,None,With Honor,None,None,"High school graduate, diploma or the equivalent","Not employed, looking for work","High school graduate, diploma or the equivalent","Not Applicable (no work, not known, etc.)","Below P10,000",Neutral,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Disagree,Neutral,Agree,Agree,Neutral,Often/Always,Seldom,Sometimes,Sometimes,Sometimes,Sometimes,Often/Always,Often/Always,Often/Always,Often/Always,Sometimes,Often/Always,Sometimes,Often/Always,Often/Always,Often/Always,Often/Always,Often/Always,Sometimes,Sometimes,Sometimes,Often/Always,Sometimes,Sometimes,Research from reference books on my own,More than 2 hours but less than 3 hours/day,More than 1 hour but less than 2 hours/day,Yes,"Post-paid plan(Unlimited Data Subscription to PLDT, GLOBE, SMART, Sky, etc.)"
0,88.22,89.71,99.7,76.79,53.82,43.49,84,BS Computer Science,Female,HUMSS,Top 20,With Honor,None,None,"Not Applicable (no work, not known, etc.)","Not Applicable (no work, not known, etc.)",Master’s degree,"Self-employed (doing business, etc.)","P10,000 to P20,000",Neutral,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Disagree,Strongly Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Strongly Disagree,Neutral,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Seldom,Seldom,Sometimes,Seldom,Sometimes,Seldom,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Seldom,Sometimes,Seldom,Sometimes,Sometimes,Seldom,Research online,More than 1 hour but less than 2 hours/day,More than 1 hour but less than 2 hours/day,Planning to purchase,"Post-paid plan(Unlimited Data Subscription to PLDT, GLOBE, SMART, Sky, etc.)"
1,86.95,82.02,82.26,93.41,75.28,72.9,93,BS Computer Science,Male,STEM,Top 20,With Honor,PIO,None,"Some college credit, no degree","Not Applicable (no work, not known, etc.)","Some high school, no diploma","Employed, working 1 to 39 hours or more per week (part-time)","P10,000 to P20,000",Agree,Neutral,Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Neutral,Neutral,Disagree,Strongly Agree,Neutral,Disagree,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,Strongly Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Agree,Agree,Neutral,Seldom,Never,Sometimes,Seldom,Seldom,Seldom,Sometimes,Sometimes,Sometimes,Seldom,Sometimes,Sometimes,Sometimes,Seldom,Sometimes,Seldom,Seldom,Sometimes,Sometimes,Seldom,Sometimes,Sometimes,Sometimes,Seldom,Research from reference books on my own,More than 30 min. but less than 1 hour/day,More than 1 hour but less than 2 hours/day,Yes,"Post-paid plan(Unlimited Data Subscription to PLDT, GLOBE, SMART, Sky, etc.)"
0,97.09,93.41,98.7,85.06,98.29,91.68,93,BS Computer Science,Male,STEM,None,With Honor,None,None,Bachelor’s degree,"Not Applicable (no work, not known, etc.)",Bachelor’s degree,"Employed, working 1 to 39 hours or more per week (part-time)","Below P10,000",Neutral,Neutral,Neutral,Agree,Neutral,Disagree,Agree,Neutral,Disagree,Agree,Agree,Agree,Disagree,Neutral,Agree,Neutral,Neutral,Neutral,Strongly Disagree,Agree,Agree,Disagree,Neutral,Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Disagree,Disagree,Disagree,Neutral,Strongly Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Strongly Disagree,Sometimes,Never,Seldom,Seldom,Seldom,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Seldom,Seldom,Often/Always,Sometimes,Often/Always,Often/Always,Sometimes,Sometimes,Seldom,Ask my friends,More than 1 hour but less than 2 hours/day,More than 1 hour but less than 2 hours/day,Yes,"Post-paid plan(Unlimited Data Subscription to PLDT, GLOBE, SMART, Sky, etc.)"
1,81.43,94.11,61.11,29.96,63.45,63.1,91.5,BS Computer Science,Male,GAS,Top 5,With Honor,None,None,Bachelor’s degree,"Employed, working 40 hours or more per week (fulltime)",Bachelor’s degree,"Employed, working 40 hours or more per week (fulltime)",Prefer not to say,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Strongly Disagree,Agree,Neutral,Strongly Disagree,Agree,Neutral,Agree,Disagree,Neutral,Neutral,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Disagree,Agree,Neutral,Seldom,Seldom,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Seldom,Never,Often/Always,Seldom,Often/Always,Never,Seldom,Sometimes,Seldom,Never,Sometimes,Sometimes,Sometimes,Sometimes,Research online,Up to 30 minutes/day,Up to 30 minutes/day,Yes,"Post-paid plan(Unlimited Data Subscription to PLDT, GLOBE, SMART, Sky, etc.)"
0,65.83,49.95,82.26,59.25,44.18,83.75,87,BS Computer Science,Male,ABM/BAM,None,None,None,None,No schooling completed,"Employed, working 1 to 39 hours or more per week (part-time)","High school graduate, diploma or the equivalent","Not employed, not looking for work",Prefer not to say,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Neutral,Neutral,Disagree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Neutral,Disagree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Sometimes,Seldom,Never,Seldom,Seldom,Sometimes,Sometimes,Often/Always,Often/Always,Sometimes,Sometimes,Sometimes,Seldom,Sometimes,Often/Always,Never,Seldom,Seldom,Sometimes,Sometimes,Often/Always,Sometimes,Sometimes,Sometimes,Ask my teachers at school,More than 1 hour but less than 2 hours/day,More than 1 hour but less than 2 hours/day,No,Pre-paid plan(Limited Data Subscription)
